dataset,file,round,source_run_id,sensor,filter,peak_height_nA,peak_voltage_mV,sigma_baseline_nA,snr,baseline_slope_nA_per_mV
sensor24_today,sensor24blankpbsrun3.csv,3,2,4,raw,298.11409440742983,-246.037,18.24355779987607,16.340787124836744,-0.08774062937705271
sensor24_today,sensor24blankpbsrun3.csv,3,2,4,avg3,268.807794023824,-251.409,10.943526319905885,24.563178829740846,-0.09150517470326806
sensor24_today,sensor24blankpbsrun3.csv,3,2,4,smooth5,257.10097846961435,-251.409,9.778779171397302,26.291725578754107,-0.09239589595661618
sensor24_today,sensor24blankpbsrun3.csv,3,2,4,smooth7,247.67265293761355,-262.153,9.92585260203202,24.952279956979215,-0.08856838689596473
sensor24_today,sensor24blankpbsrun3.csv,3,2,4,sg5,271.4070539390268,-251.409,12.179231200210621,22.284415943621568,-0.09058607328416958
sensor24_today,sensor24blankpbsrun4.csv,4,1,2,raw,391.023495134262,-251.409,26.214082948807125,14.916542985611311,-0.039981191780548014
sensor24_today,sensor24blankpbsrun4.csv,4,1,2,avg3,375.4263587320816,-267.525,22.242207289082756,16.879006379746933,-0.05076111576894288
sensor24_today,sensor24blankpbsrun4.csv,4,1,2,smooth5,373.87522382394513,-262.153,20.683357108852633,18.076138310444957,-0.05328764699418018
sensor24_today,sensor24blankpbsrun4.csv,4,1,2,smooth7,362.13629691096304,-267.525,20.55365140349212,17.619073604091348,-0.060116927648778413
sensor24_today,sensor24blankpbsrun4.csv,4,1,2,sg5,378.84660185053815,-267.525,23.364335870450233,16.214738734760267,-0.04813810525245152
sensor24_today,sensor24blankpbsrun4.csv,4,2,4,raw,290.01689230769233,-256.781,20.88814338132447,13.884282916546269,0.10697061687381866
sensor24_today,sensor24blankpbsrun4.csv,4,2,4,avg3,259.6107225923683,-262.153,11.963592417558809,21.700064122156235,0.10527747122279285
sensor24_today,sensor24blankpbsrun4.csv,4,2,4,smooth5,251.2027728568544,-267.525,11.156068300624296,22.517141889745965,0.09534847822697917
sensor24_today,sensor24blankpbsrun4.csv,4,2,4,smooth7,246.14816272965876,-262.153,11.362534419947155,21.663139017430897,0.09134241725426111
sensor24_today,sensor24blankpbsrun4.csv,4,2,4,sg5,264.1957438781691,-262.153,13.165679434258312,20.06700415253218,0.10977473174980225
sensor24_today,sensor24blankpbsrun5.csv,5,1,2,raw,389.9890134463961,-267.525,18.909627753589294,20.623833452901845,-0.05235255331613819
sensor24_today,sensor24blankpbsrun5.csv,5,1,2,avg3,387.12119180294775,-262.153,17.495643569308548,22.12671916122302,-0.054358821018842936
sensor24_today,sensor24blankpbsrun5.csv,5,1,2,smooth5,378.3187249828387,-267.525,18.41276189869076,20.54654956515454,-0.060336769505278075
sensor24_today,sensor24blankpbsrun5.csv,5,1,2,smooth7,368.5187795910126,-267.525,19.43791283747443,18.958762840038247,-0.06675000509523063
sensor24_today,sensor24blankpbsrun5.csv,5,1,2,sg5,391.2491656485248,-262.153,17.25031017090562,22.680703232131197,-0.05151082616763514
sensor24_today,sensor24blankpbsrun5.csv,5,2,4,raw,264.1027810619826,-251.409,18.50588118874395,14.271289130647881,-0.04220878040625815
sensor24_today,sensor24blankpbsrun5.csv,5,2,4,avg3,256.8603388249546,-256.781,10.56394210170503,24.314818876515535,-0.030400703320069413
sensor24_today,sensor24blankpbsrun5.csv,5,2,4,smooth5,251.46392399757727,-256.781,9.17113663558964,27.419057635859755,-0.02757783026420053
sensor24_today,sensor24blankpbsrun5.csv,5,2,4,smooth7,243.1163871073809,-256.781,9.359609857468012,25.975055671086423,-0.029586695943893664
sensor24_today,sensor24blankpbsrun5.csv,5,2,4,sg5,257.7155982209916,-256.781,12.12402535345405,21.256603372869904,-0.03329755139219202
sensor135_previous,pbsblank135run1.csv,1,1,1,raw,203.40619765798508,-246.037,9.845290174583399,20.660254197798913,-0.01162923288291927
sensor135_previous,pbsblank135run1.csv,1,1,1,avg3,196.01318873410054,-246.037,6.756279752434807,29.012000082362178,-0.010322857646689002
sensor135_previous,pbsblank135run1.csv,1,1,1,smooth5,185.5777506642439,-251.409,6.537215249578815,28.387890497593826,-0.012249881574815174
sensor135_previous,pbsblank135run1.csv,1,1,1,smooth7,179.67035509792046,-251.409,6.718917503586718,26.740967574316567,-0.012513750948094126
sensor135_previous,pbsblank135run1.csv,1,1,1,sg5,201.59339350811922,-246.037,6.597565134502056,30.555726150225308,-0.009682722946188835
sensor135_previous,pbsblank135run1.csv,1,2,3,raw,181.9297212598425,-251.409,12.901954288255242,14.100942942066897,-0.036202635375658515
sensor135_previous,pbsblank135run1.csv,1,2,3,avg3,176.09029246921062,-246.037,7.1630136328188305,24.58326920702991,-0.027329804104975416
sensor135_previous,pbsblank135run1.csv,1,2,3,smooth5,171.64477569957603,-246.037,6.222472776918839,27.584656751936613,-0.024960882481476272
sensor135_previous,pbsblank135run1.csv,1,2,3,smooth7,166.84208364915924,-246.037,7.240681150602299,23.042318834227476,-0.0231240214768101
sensor135_previous,pbsblank135run1.csv,1,2,3,sg5,176.76480324997829,-246.037,8.435184894152743,20.95565248042297,-0.029612626103734933
sensor135_previous,pbsblank135run1.csv,1,3,5,raw,168.34464211588943,-251.409,10.926094428956102,15.4075770816831,-0.10684038299554158
sensor135_previous,pbsblank135run1.csv,1,3,5,avg3,161.2466416717141,-246.037,8.081402851764437,19.95280332257024,-0.10527068366697596
sensor135_previous,pbsblank135run1.csv,1,3,5,smooth5,159.40052589541688,-251.409,8.005651616702757,19.910999569710015,-0.10387660689558545
sensor135_previous,pbsblank135run1.csv,1,3,5,smooth7,155.0332880101525,-251.409,8.239318299694817,18.816276100887485,-0.10301600924662466
sensor135_previous,pbsblank135run1.csv,1,3,5,sg5,162.49292943843557,-256.781,8.241752410725036,19.715822720782374,-0.10609239756594666
sensor135_previous,pbsblank135run2.csv,2,1,1,raw,209.93063315162527,-262.153,11.450562162762655,18.333652982935792,-0.04794815870823869
sensor135_previous,pbsblank135run2.csv,2,1,1,avg3,192.27581477892184,-256.781,6.832103915975551,28.14298745212615,-0.04753429820356026
sensor135_previous,pbsblank135run2.csv,2,1,1,smooth5,187.88798052089643,-251.409,6.125038506088146,30.67539580920841,-0.04673100487847114
sensor135_previous,pbsblank135run2.csv,2,1,1,smooth7,183.9946150673473,-251.409,6.25518807908523,29.414721466577387,-0.04585244152173284
sensor135_previous,pbsblank135run2.csv,2,1,1,sg5,192.697332494592,-256.781,6.862849732260799,28.0783260616596,-0.04793863035864427
sensor135_previous,pbsblank135run2.csv,2,2,3,raw,188.18285802543917,-240.665,14.36000542588824,13.10465089979582,0.028517724089689552
